timestamp,original data,missing data,filled flow dataGPT,,error,,
6/10/2018 0:00,6.487611,6.487611,6.487611,,0,mean error,-0.326041744
6/10/2018 0:15,6.506331,6.506331,6.506331,,0,max error,7.421264063
6/10/2018 0:30,6.466698,6.466698,6.466698,,0,std error,1.184074132
6/10/2018 0:45,5.794517,5.794517,5.794517,,0,,
6/10/2018 1:00,5.691611,5.691611,5.691611,,0,,
6/10/2018 1:15,5.707466,5.707466,5.707466,,0,,
6/10/2018 1:30,5.885384,5.885384,5.885384,,0,,
6/10/2018 1:45,5.082154,5.082154,5.082154,,0,,
6/10/2018 2:00,5.11062,5.11062,5.11062,,0,,
6/10/2018 2:15,4.556857,4.556857,4.556857,,0,,
6/10/2018 2:30,4.308213,4.308213,4.308213,,0,,
6/10/2018 2:45,5.307478,5.307478,5.307478,,0,,
6/10/2018 3:00,4.823006,4.823006,4.823006,,0,,
6/10/2018 3:15,4.572483,4.572483,4.572483,,0,,
6/10/2018 3:30,4.146624,4.146624,4.146624,,0,,
6/10/2018 3:45,4.341585,4.341585,4.341585,,0,,
6/10/2018 4:00,4.727679,4.727679,4.727679,,0,,
6/10/2018 4:15,4.634265,4.634265,4.634265,,0,,
6/10/2018 4:30,5.261591,5.261591,5.261591,,0,,
6/10/2018 4:45,4.725363,4.725363,4.725363,,0,,
6/10/2018 5:00,4.459541,4.459541,4.459541,,0,,
6/10/2018 5:15,5.093352,5.093352,5.093352,,0,,
6/10/2018 5:30,4.693418,4.693418,4.693418,,0,,
6/10/2018 5:45,5.485207,5.485207,5.485207,,0,,
6/10/2018 6:00,6.24789,6.24789,6.24789,,0,,
6/10/2018 6:15,7.132205,7.132205,7.132205,,0,,
6/10/2018 6:30,8.176233,8.176233,8.176233,,0,,
6/10/2018 6:45,8.113589,8.113589,8.113589,,0,,
6/10/2018 7:00,8.908707,8.908707,8.908707,,0,,
6/10/2018 7:15,10.670378,10.670378,10.670378,,0,,
6/10/2018 7:30,12.119204,12.119204,12.119204,,0,,
6/10/2018 7:45,13.312066,13.312066,13.312066,,0,,
6/10/2018 8:00,14.8705,14.8705,14.8705,,0,,
6/10/2018 8:15,16.446886,16.446886,16.446886,,0,,
6/10/2018 8:30,17.801194,17.801194,17.801194,,0,,
6/10/2018 8:45,17.801682,17.801682,17.801682,,0,,
6/10/2018 9:00,17.956728,,15.76961763,15.76961763,2.187110375,,
6/10/2018 9:15,17.947826,,15.76961763,15.76961763,2.178208375,,
6/10/2018 9:30,17.488548,,15.76961763,15.76961763,1.718930375,,
6/10/2018 9:45,17.275727,,15.76961763,15.76961763,1.506109375,,
6/10/2018 10:00,17.362611,,15.0046275,15.0046275,2.3579835,,
